0,1,2,3,4,5,6,7,8,9,10,11,data_bollettino,data_aggiornamento
Camastra,"531,60",18.418.128 ***,"516,48",----------,2.349.879,"524,48","-1,00",----------,9.250.525,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-31,2025-12-31 10:24
Basentello,"269,00",33.039.968,"257,20",6.146.935,575.560,"257,58","1,00",6.579.869,1.008.494,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"267,50 *",28.001.468,,,,,,,,,,2025-12-31,2025-12-31 10:24
Conza,"434,80",61.813.380,"421,25",15.226.875,11.302.475,"422,28","0,00",17.753.980,13.829.580,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"431,30 *",45.495.770,,,,,,,,,,2025-12-31,2025-12-31 10:24
Saetta,"951,24",3.480.000,"946,28",1.150.800,5 27.800,"946,06","1,00",1.071.600,448.600,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"949,00*",2.250.000,,,,,,,,,,2025-12-31,2025-12-31 10:24
S.Giuliano,"101,00",94.081.021,"91,93",15.602.221,11.602.221,"93,57","0,00",23.037.372,19.037.372,"0,00","0,00",2025-12-31,2025-12-31 10:24
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,40","0,00",2.380.000,2.239.000,"0,00","0,00",2025-12-31,2025-12-31 10:24
Acerenza,"432,00 **",8.887.800,"427,18",5.245.032,1.882.832,"430,08","0,00",7.308.792,3.946.592,"1,00","0,00",2025-12-31,2025-12-31 10:24
Genzano,"402,00 **",3.100.000,"400,47",2.468.000,1.018.000,"401,29","1,00",2.781.000,1.331.000,"1,00","0,00",2025-12-31,2025-12-31 10:24
DESCRIZIONE INVASI,,,02-gennaio-2025,,,02-gennaio-2026,,,,,,2026-01-02,2026-01-02 10:24
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2026-01-02,2026-01-02 10:24
,slm,mc.lordi,,,,,,,,,,2026-01-02,2026-01-02 10:24
M.Cotugno,"252,00",480.700.000,"220,27",80.936.000,65.936.000,"216,53","-1,00",57.521.000,42.521.000,"0,00","0,00",2026-01-02,2026-01-02 10:24
,"240,00*",285.700.000,,,,,,,,,,2026-01-02,2026-01-02 10:24
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,96",69.273.000,56.273.000,"513,92","1,00",57.080.000,44.080.000,"2,00","0,00",2026-01-02,2026-01-02 10:24
,"527,00 *",123.429.000,,,,,,,,,,2026-01-02,2026-01-02 10:24
,"525,50 *",113.438.000,,,,,,,,,,2026-01-02,2026-01-02 10:24
Camastra,"531,60",18.418.128 ***,"516,57",----------,2.407.550,"524,46","-1,00",----------,9.229.123,"0,00","0,00",2026-01-02,2026-01-02 10:24
,"526,60 *",11.676.725 ***,,,,,,,,,,2026-01-02,2026-01-02 10:24
Basentello,"269,00",33.039.968,"257,23",6.181.114,609.739,"257,58","0,00",6.579.869,1.008.494,"0,00","0,00",2026-01-02,2026-01-02 10:24
,"267,50 *",28.001.468,,,,,,,,,,2026-01-02,2026-01-02 10:24
Conza,"434,80",61.813.380,"421,27",15.275.945,11.351.545,"422,28","1,00",17.753.980,13.829.580,"0,00","0,00",2026-01-02,2026-01-02 10:24
,"431,30 *",45.495.770,,,,,,,,,,2026-01-02,2026-01-02 10:24
Saetta,"951,24",3.480.000,"946,31",1.161.600,5 38.600,"946,08","2,00",1.078.800,455.800,"2,00","0,00",2026-01-02,2026-01-02 10:24
,"949,00*",2.250.000,,,,,,,,,,2026-01-02,2026-01-02 10:24
S.Giuliano,"101,00",94.081.021,"91,97",15.763.559,11.763.559,"93,56","0,00",22.987.057,18.987.057,"0,00","0,00",2026-01-02,2026-01-02 10:24
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,35","0,00",2.348.000,2.207.000,"0,00","0,00",2026-01-02,2026-01-02 10:24
Acerenza,"432,00 **",8.887.800,"427,26",5.296.424,1.934.224,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2026-01-02,2026-01-02 10:24
Genzano,"402,00 **",3.100.000,"400,48",2.472.000,1.022.000,"401,29","0,00",2.781.000,1.331.000,"0,00","0,00",2026-01-02,2026-01-02 10:24
